3576.30	7.94	249.60	101.80	101.80	53.00	31.70	103.20	32.50	214.70	83.60	0.40	1610.37	131.30	45.25	92.38	801.00	0.00	0.71
3576.30	9.53	233.50	101.30	102.40	58.80	37.60	103.00	38.60	290.59	104.70	1.40	2310.23	158.50	45.25	91.69	801.00	0.11	0.62
3576.30	11.11	213.40	101.60	100.60	63.60	42.80	102.60	43.40	368.04	114.30	1.90	3039.49	172.30	45.25	90.20	801.00	0.21	0.46
3576.30	12.70	191.60	98.40	99.00	64.70	46.20	102.00	46.10	434.66	121.30	3.30	3824.08	181.50	45.25	88.03	801.00	0.30	0.36
3579.00	7.94	259.61	103.47	101.42	52.00	27.20	105.90	28.09	243.64	70.73	1.14	1713.80	117.30	41.23	91.98	793.70	-	0.39
3579.00	9.53	239.42	103.20	104.18	58.00	34.60	105.70	35.10	313.85	79.58	1.66	2353.50	129.70	41.23	90.80	793.70	-	0.28
3579.00	11.11	213.43	103.19	103.00	61.00	41.20	105.20	41.11	395.00	85.50	2.59	3085.50	139.70	41.23	92.47	793.70	-	0.16
3579.00	12.70	194.24	103.23	103.92	62.00	43.70	104.50	44.14	435.04	86.21	3.16	3534.40	137.70	41.23	88.43	793.70	-	0.10
3579.00	14.29	166.00	107.38	107.54	63.00	49.20	103.40	49.75	494.59	88.07	3.51	4071.60	142.20	41.23	89.12	793.70	-	0.04
3582.50	9.53	206.00	105.51	105.03	56.00	37.40	104.60	37.79	273.40	59.90	0.80	2085.00	94.00	-	90.90	783.00	-	0.16
3653.00	7.94	323.10	108.89	99.17	37.00	14.00	105.42	16.20	310.78	150.07	1.20	1784.00	492.80	53.27	98.10	798.00	0.18	1.00
3653.00	9.53	272.69	89.65	86.75	48.00	21.00	105.32	22.03	375.37	138.98	0.86	3127.00	238.30	53.27	98.40	798.00	0.24	0.65
3653.00	12.70	202.15	97.88	92.46	54.00	35.00	105.22	35.41	473.78	151.79	0.70	3895.70	245.00	53.27	97.90	798.00	0.36	0.49
3653.00	14.29	165.85	79.95	81.15	52.00	34.00	105.12	33.83	488.09	143.15	0.43	5129.00	221.20	53.27	97.61	798.00	0.37	0.40
3653.00	15.88	138.87	80.73	79.54	51.00	38.00	105.02	37.26	492.51	137.68	0.41	5235.60	209.70	53.27	99.48	798.00	0.37	0.36
3653.00	14.29	149.89	73.31	72.58	50.00	-	100.21	31.99	459.31	114.88	0.34	5209.50	172.50	53.27	95.73	798.00	0.30	0.27
3653.00	11.11	191.41	76.57	76.82	50.00	-	102.38	24.80	355.02	109.27	0.33	3705.50	164.00	53.27	96.72	798.00	0.18	0.45
3650.00	7.94	337.11	91.05	89.43	60.00	90.30	105.60	31.18	287.95	106.66	0.49	2519.80	163.00	47.33	88.43	795.00	0.12	0.64
3650.00	9.53	325.84	97.79	98.18	66.00	95.50	105.49	40.51	402.79	143.01	2.18	3517.80	218.90	47.33	84.38	795.00	0.29	0.59
3650.00	12.70	299.56	103.11	105.98	74.00	103.60	105.47	51.38	654.56	230.98	4.56	5599.80	354.60	47.33	92.57	795.00	0.69	0.59
-	14.29	221.80	107.56	106.77	69.00	-	-	52.22	601.50	167.10	1.00	5020.00	254.00	-	89.61	788.40	0.55	0.35
3572.00	6.35	251.29	106.00	114.70	25.00	-	104.90	26.50	148.20	40.00	0.00	1768.60	98.20	38.59	93.56	780.00	-	0.55
3572.00	9.53	237.10	105.90	103.80	31.00	-	104.70	38.50	304.63	76.60	0.00	2315.90	122.10	38.59	93.56	780.00	-	0.47
3572.00	11.11	222.92	108.90	108.70	37.00	-	104.60	45.00	389.86	91.80	1.10	2998.10	143.50	38.59	102.25	780.00	-	0.41
3667.00	9.53	256.00	96.60	97.32	55.00	33.40	105.57	33.69	353.22	77.99	3.50	2856.20	123.10	39.02	91.59	787.00	-	0.17
3667.00	11.11	249.27	98.95	40.74	60.00	39.20	105.56	39.67	451.48	98.20	3.89	3766.50	154.00	39.02	93.56	787.00	-	0.16
3667.00	12.70	239.64	100.10	45.06	64.00	43.70	105.51	44.07	537.87	113.09	5.19	4529.60	176.60	39.02	93.96	787.00	-	0.13
3667.00	14.29	223.11	102.23	47.85	66.00	47.80	105.44	48.17	653.03	134.34	6.58	5557.80	206.00	39.02	94.74	787.00	-	0.12
3670.00	12.70	229.89	102.40	102.29	65.10	44.80	105.04	44.74	503.75	134.48	6.66	4152.00	195.90	37.19	94.55	778.80	-	0.04
3668.50	9.53	248.00	94.02	94.20	59.00	32.40	104.85	33.51	338.63	66.59	1.39	2868.60	105.20	36.75	87.64	782.53	-	0.09
3668.50	11.11	239.00	95.51	95.88	61.00	38.60	104.83	39.29	432.74	77.91	2.02	3773.00	122.80	36.75	86.95	782.53	-	0.04
3668.50	12.70	223.89	94.89	95.52	64.00	42.70	104.74	42.91	514.10	91.24	2.80	4590.30	142.10	36.75	87.64	782.53	-	0.03
3668.50	14.29	206.00	97.27	95.52	66.00	46.90	104.64	46.72	608.78	102.94	3.23	5452.40	161.10	36.75	87.74	782.53	-	0.00
3424.50	6.35	219.88	101.82	101.92	24.20	-	106.20	23.66	128.37	39.74	0.60	884.00	68.90	37.21	100.47	780.00	-	0.43
3424.50	9.53	201.64	103.87	103.97	35.50	-	106.40	36.56	244.58	67.58	1.40	1867.00	120.40	37.21	102.25	780.00	-	0.33
3424.50	11.11	182.39	103.06	103.45	42.30	-	106.47	42.63	295.81	71.29	2.18	2445.00	123.90	37.21	101.26	792.00	-	0.24
3424.50	12.70	163.13	104.28	104.34	47.80	-	106.40	48.02	330.50	74.59	2.50	2869.00	126.40	37.21	102.54	785.00	-	0.18
3424.50	14.30	149.96	104.43	104.62	50.60	-	106.70	50.58	346.70	73.12	2.55	3112.00	121.40	37.21	102.64	777.00	-	0.13
3437.00	7.50	212.00	100.80	99.70	40.00	26.00	106.50	25.90	162.15	45.40	0.60	1168.00	79.00	36.46	98.49	782.00	-	0.35
3437.00	7.94	210.63	100.60	100.60	48.00	27.80	106.60	28.50	189.82	52.80	1.00	1401.00	93.10	36.46	98.49	782.00	-	0.34
